,age,age_origin
"Actinobacteria_30325493:Actinobacteria
",1-17岁,15 year-old
"Actinobacteria_30456869:Actinobacteria
",none,improved
"Actinobacteria_30462797:Actinobacteria
",none,a
"Actinobacteria_30518371:Actinobacteria
",1-17岁,1 day to 13
"Actinobacteria_30550945:Actinobacteria
",17-65岁,50
"Actinobacteria_30643085:Actinobacteria
",none,few
"Actinobacteria_30661897:Actinobacteria
",none,old
"Actinobacteria_30767776:Actinobacteria
",17-65岁,45-year-old
"Actinobacteria_30971569:Actinobacteria
",17-65岁,middle-aged
"Actinobacteria_31118378:Actinobacteria
",17-65岁,20
"Actinobacteria_31210167:Actinobacteria
",1岁以下,5-month-old
"Actinobacteria_31337957:Actinobacteria
",none,susceptible
"Actinobacteria_31483793:Actinobacteria
",>65岁,older
"Actinobacteria_31537234:Actinobacteria
",>65岁,37-82
"Actinobacteria_31620801:Actinobacteria
",none,:
"Actinobacteria_31693939:Actinobacteria
",1-17岁,five
"Actinobacteria_31715672:Actinobacteria
",1-17岁,59+-14
"Actinobacteria_31770270:Actinobacteria
",>65岁,76-year-old
"Actinobacteria_31785769:Actinobacteria
",none,Patient
"Actinobacteria_31793512:Actinobacteria
",17-65岁,59-year-old
"Actinobacteria_31822450:Actinobacteria
",1-17岁,pediatric
"Actinobacteria_32102768:Actinobacteria
",>65岁,100
"Actinobacteria_32134016:Actinobacteria
",>65岁,104
"Actinobacteria_32164551:Actinobacteria
",17-65岁,38-year-old
"Actinobacteria_32184071:Actinobacteria
",none,Japanese
"Actinobacteria_32185636:Actinobacteria
",17-65岁,adult
"Actinobacteria_32193366:Actinobacteria
",none,old
"Actinobacteria_32275811:Actinobacteria
",none,.
"Actinobacteria_32321630:Actinobacteria
",>65岁,older
"Actinobacteria_32667282:Actinobacteria
",none,.
"Actinobacteria_32815513:Actinobacteria
",none,both
"Actinobacteria_32815515:Actinobacteria
",17-65岁,43-year-old
"Actinobacteria_33151912:Actinobacteria
",17-65岁,51-year-old
"Actinobacteria_33235651:Actinobacteria
",17-65岁,43 years old
"Actinomyces_10196385:Actinomyces
",none,"predominance,"
"Actinomyces_11072723:Actinomyces
",>65岁,79 years old
"Actinomyces_11242814:Actinomyces
",17-65岁,43-year-old
"Actinomyces_1522328:Actinomyces
",none,A
"Actinomyces_1582318:Actinomyces
",none,Our
"Actinomyces_15966370:Actinomyces
",17-65岁,51-year-old
"Actinomyces_16101725:Actinomyces
",17-65岁,25
"Actinomyces_16227933:Actinomyces
",1-17岁,fifty-two year old
"Actinomyces_16357406:Actinomyces
",none,.
"Actinomyces_16462221:Actinomyces
",17-65岁,51-year-old
"Actinomyces_16582679:Actinomyces
",none,Diagnosis depends on a high degree of suspicion so as to alert the microbiology and pathology laboratories to employ special methods to identify the organisms.
"Actinomyces_1729092:Actinomyces
",>65岁,66-year-old
"Actinomyces_17492237:Actinomyces
",17-65岁,32 year-old
"Actinomyces_18050796:Actinomyces
",1-17岁,young
"Actinomyces_18076682:Actinomyces
",1-17岁,young
"Actinomyces_18491828:Actinomyces
",17-65岁,39-year-old
"Actinomyces_18667598:Actinomyces
",17-65岁,59-year-old
"Actinomyces_1925461:Actinomyces
",17-65岁,45-year-old
"Actinomyces_19764517:Actinomyces
",17-65岁,50-year-old
"Actinomyces_19996845:Actinomyces
",none,.
"Actinomyces_2017611:Actinomyces
",none,life
"Actinomyces_20458215:Actinomyces
",17-65岁,58-year-old
"Actinomyces_21051872:Actinomyces
",17-65岁,53-year-old
"Actinomyces_21499592:Actinomyces
",17-65岁,46-year-old
"Actinomyces_21686384:Actinomyces
",17-65岁,52-year-old
"Actinomyces_22192786:Actinomyces
",none,as well as
