,物种名称,是否是致病菌,预测概率,样本量,样本量文本,年龄,年龄文本,患者性别,性别文本,免疫状态,免疫文本,证据等级,证据文本,原文链接,标注方式
Clostridium_hastiforme_401538,Clostridium hastiforme,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/401538/,人工标注
Clostridium_bifermentans_401538,Clostridium bifermentans,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/401538/,人工标注
Actinomyces_viscosus_432603,Actinomyces viscosus,yes,[1],NA,the first human,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,pleural fluid,https://pubmed.ncbi.nlm.nih.gov/432603/,人工标注
Clostridium_sordellii_602960,Clostridium sordellii,yes,[1],1,A case of,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/602960/,人工标注
Propionibacterium_avidum_1303696,Propionibacterium avidum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1303696/,人工标注
Clostridium_limosum_1587816,Clostridium limosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/1587816/,人工标注
Propionibacterium_avidum_1752209,Propionibacterium avidum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1752209/,人工标注
Porphyromonas_oris_1800380,Porphyromonas oris,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1800380/,人工标注
Fusobacterium_naviforme_1800380,Fusobacterium naviforme,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1800380/,人工标注
Porphyromonas_bivia_1800380,Porphyromonas bivia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1800380/,人工标注
