,num,num_origin
"Actinobacteria_30325493:Actinobacteria
",1,a
"Actinobacteria_30456869:Actinobacteria
",1,:Mycobacterium abscessus complex can cause severe lung infections and has proven to be a serious threat to patients
"Actinobacteria_30462797:Actinobacteria
",1,a case
"Actinobacteria_30518371:Actinobacteria
",1-10,5
"Actinobacteria_30550945:Actinobacteria
",>100,535
"Actinobacteria_30643085:Actinobacteria
",1,present case
"Actinobacteria_30661897:Actinobacteria
",1,A Case
"Actinobacteria_30767776:Actinobacteria
",1,a
"Actinobacteria_30971569:Actinobacteria
",1,an
"Actinobacteria_31064629:Actinobacteria
",>100,196
"Actinobacteria_31072645:Actinobacteria
",10-100,17
"Actinobacteria_31118378:Actinobacteria
",10-100,20
"Actinobacteria_31205045:Actinobacteria
",1,a
"Actinobacteria_31210167:Actinobacteria
",1,A
"Actinobacteria_31337957:Actinobacteria
",1,Case
"Actinobacteria_31483793:Actinobacteria
",>100,392
"Actinobacteria_31537234:Actinobacteria
",10-100,12
"Actinobacteria_31620801:Actinobacteria
",none,:
"Actinobacteria_31693939:Actinobacteria
",10-100,55
"Actinobacteria_31715672:Actinobacteria
",>100,529
"Actinobacteria_31770270:Actinobacteria
",1,A
"Actinobacteria_31785769:Actinobacteria
",1,an
"Actinobacteria_31793512:Actinobacteria
",1,A
"Actinobacteria_31822450:Actinobacteria
",1-10,4
"Actinobacteria_32102768:Actinobacteria
",10-100,42
"Actinobacteria_32134016:Actinobacteria
",>100,104
"Actinobacteria_32164551:Actinobacteria
",1,a
"Actinobacteria_32184071:Actinobacteria
",none,patients
"Actinobacteria_32185636:Actinobacteria
",10-100,31
"Actinobacteria_32193366:Actinobacteria
",none,The patient
"Actinobacteria_32275811:Actinobacteria
",10-100,20
"Actinobacteria_32321630:Actinobacteria
",>100,131
"Actinobacteria_32667282:Actinobacteria
",1-10,3
"Actinobacteria_32815513:Actinobacteria
",1-10,two
"Actinobacteria_32815515:Actinobacteria
",1-10,two cases
"Actinobacteria_33151912:Actinobacteria
",1,a
"Actinobacteria_33235651:Actinobacteria
",1,a
"Actinomyces_10196385:Actinomyces
",10-100,18
"Actinomyces_11072723:Actinomyces
",1,A
"Actinomyces_11242814:Actinomyces
",1,a
"Actinomyces_1522328:Actinomyces
",1,A
"Actinomyces_1582318:Actinomyces
",1,a case
