,age,age_origin
"Absidia_16012329:Absidia
",1-17岁,4-year-old
"Absidia_23373895:Absidia
",1-17岁,16-year-old
"Absidia_24103142:Absidia
",1-17岁,4-year-old
"Absidia_33906622:Absidia
",17-65岁,32-year-old
"Absidia_corymbifera_15836442:Absidia corymbifera
",1-17岁,6-year-old
"Absidia_corymbifera_21761152:Absidia corymbifera
",none,review
"Absidia_corymbifera_23307250:Absidia corymbifera
",1-17岁,14-year-old
"Absidia_corymbifera_24850354:Absidia corymbifera
",>65岁,86
"Absidia_corymbifera_2689623:Absidia corymbifera
",>65岁,116 farmed deer examined
"Absidia_corymbifera_28197828:Absidia corymbifera
",1-17岁,young
"Absidia_corymbifera_30338581:Absidia corymbifera
",17-65岁,"14.1 years, range 7.7-18"
"Absidia_corymbifera_32388712:Absidia corymbifera
",none,recipient
"Absidia_corymbifera_33194153:Absidia corymbifera
",1-17岁,15-year-old
"Absidia_corymbifera_33253454:Absidia corymbifera
",17-65岁,45
"Absidia_ornata_32388712:Absidia ornata
",none,recipient
"Absidia_ramosa_24103142:Absidia ramosa
",1-17岁,4-year-old
"Absidia_ramosa_24925144:Absidia ramosa
",17-65岁,52-year-old
"Absidia_ramosa_25250768:Absidia ramosa
",>65岁,71
"Absidia_ramosa_25587084:Absidia ramosa
",17-65岁,40
"Absidia_ramosa_26645867:Absidia ramosa
",1-17岁,8-year-old
"Absidia_ramosa_27445521:Absidia ramosa
",17-65岁,56-year-old
"Absidia_ramosa_29526942:Absidia ramosa
",17-65岁,53-year-old
"Absidia_ramosa_29642408:Absidia ramosa
",1-17岁,five
"Absidia_ramosa_30879588:Absidia ramosa
",none,present
"Acremonium_16410951:Acremonium
",1岁以下,four-month-old
"Acremonium_1895586:Acremonium
",17-65岁,64-year-old
"Acremonium_22402374:Acremonium
",none,a patient with acute myelogenous leukemia].
"Acremonium_26528372:Acremonium
",17-65岁,59 year-old
"Acremonium_28491812:Acremonium
",none,a
"Acremonium_atrogriseum_21068274:Acremonium atrogriseum
",none,our
"Acremonium_kiliense_16410951:Acremonium kiliense
",1岁以下,four-month-old
"Acremonium_kiliense_24002104:Acremonium kiliense
",none,One
"Acremonium_kiliense_28327806:Acremonium kiliense
",>65岁,117
"Acremonium_recifei_21068274:Acremonium recifei
",none,our
"Acrophialophora_11101597:Acrophialophora
",1-17岁,12-year-old
"Acrophialophora_15762812:Acrophialophora
",17-65岁,adult
"Acrophialophora_31615438:Acrophialophora
",>65岁,71-year-old
"Acrophialophora_32008965:Acrophialophora
",17-65岁,59-year-old
"Acrophialophora_fusispora_11101597:Acrophialophora fusispora
",1-17岁,12-year-old
"Acrophialophora_fusispora_15762812:Acrophialophora fusispora
",17-65岁,adult
"Acrophialophora_fusispora_25716450:Acrophialophora fusispora
",none,various
"Actinomucor_elegans_31410599:Actinomucor elegans
",1-17岁,5-year-old
"Ajellomyces_capsulatus_11602023:Ajellomyces capsulatus
",1-17岁,38.2 +/- 8
"Ajellomyces_capsulatus_11694904:Ajellomyces capsulatus
",17-65岁,56-year-old
"Ajellomyces_capsulatus_11695094:Ajellomyces capsulatus
",none,irrespective
"Ajellomyces_capsulatus_11780341:Ajellomyces capsulatus
",none,normal people
"Ajellomyces_capsulatus_14525547:Ajellomyces capsulatus
",none,our
"Ajellomyces_capsulatus_14663287:Ajellomyces capsulatus
",1-17岁,4
"Ajellomyces_capsulatus_15569333:Ajellomyces capsulatus
",17-65岁,33
"Ajellomyces_capsulatus_1556966:Ajellomyces capsulatus
",none,a
"Ajellomyces_capsulatus_16331860:Ajellomyces capsulatus
",none,assumed
"Ajellomyces_capsulatus_16440543:Ajellomyces capsulatus
",17-65岁,59-year-old
"Ajellomyces_capsulatus_16548287:Ajellomyces capsulatus
",17-65岁,31
"Ajellomyces_capsulatus_17152648:Ajellomyces capsulatus
",17-65岁,46-year-old
"Ajellomyces_capsulatus_17998368:Ajellomyces capsulatus
",17-65岁,38-year-old
"Ajellomyces_capsulatus_18574291:Ajellomyces capsulatus
",none,healthy
"Ajellomyces_capsulatus_1881420:Ajellomyces capsulatus
",17-65岁,46-year-old
"Ajellomyces_capsulatus_19645867:Ajellomyces capsulatus
",none,persons
"Ajellomyces_capsulatus_20410844:Ajellomyces capsulatus
",1-17岁,child
"Ajellomyces_capsulatus_20414100:Ajellomyces capsulatus
",17-65岁,52
"Ajellomyces_capsulatus_21601471:Ajellomyces capsulatus
",17-65岁,61
"Ajellomyces_capsulatus_21634031:Ajellomyces capsulatus
",1-17岁,12-year old
"Ajellomyces_capsulatus_21810734:Ajellomyces capsulatus
",>65岁,218
"Ajellomyces_capsulatus_22121356:Ajellomyces capsulatus
",none,describe
"Ajellomyces_capsulatus_23203645:Ajellomyces capsulatus
",none,these patients.
"Ajellomyces_capsulatus_23393000:Ajellomyces capsulatus
",17-65岁,24-year-old
"Ajellomyces_capsulatus_23664715:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_23956402:Ajellomyces capsulatus
",17-65岁,39-year-old
"Ajellomyces_capsulatus_24499506:Ajellomyces capsulatus
",none,woman
