,evi,evi_origin
"Absidia_16012329:Absidia
",none,"infection pulmonary Absidia sp. infection pleuropneumonia Fatal course of pulmonary Absidia sp. infection sp. infection infection in a 4-year-old girl undergoing treatment for acute lymphoblastic leukemia primary pulmonary absidiomycosis absidiomycosis pulmonary absidiomycosis pleuro acute lymphoblastic leukemia complicated with pleuropneumonia primary pulmonary absidiomycosis have been published. Despite its uncommon pulmonary presentation, mucormycosis mucormycosis should be considered in patients with an immunosuppressing illness and positive risk factors and when a pulmonary lesion pulmonary lesion is not responding to appropriate antibiotic therapy The authors describe a 4-year-old girl with acute lymphoblastic leukemia complicated with pleuropneumonia pulmonary Absidia sp. infection in a 4-year-old girl undergoing treatment for acute lymphoblastic leukemia mucormycosis appropriate antibiotic therapy pulmonary lesion infectious complications in immunosuppressed patients. The authors describe a 4-year-old girl with acute lymphoblastic leukemia"
"Absidia_23373895:Absidia
",none,skin lesions played a significant role in the diagnosis of mucormycosis mucormycosis. These infections have an exceedingly high mortality rate and early recognition of cutaneous lesions cutaneous lesions skin lesions skin lesions played a significant role in the diagnosis of mucormycosis. These infections mucormycosis mucormycosis. These infections have an exceedingly high mortality rate and early recognition of cutaneous lesions is essential to successful management cutaneous lesions is essential to successful management skin lesions played a significant role in the diagnosis of mucormycosis. These infections have an exceedingly high mortality rate mucormycosis. These infections cutaneous and cerebral involvement.ABSTRACT:Fungal infections caused by zygomycetes early recognition of cutaneous lesions acute lymphoblastic leukaemia skin lesions played a significant role in the diagnosis of mucormycos lesions mucormycosis. These infections have an exceedingly high mortality rate acute lymphoblastic leukaemia. The skin lesions played a significant role in the diagnosis of mucormycosis zygomycetes skin acute lymphoblastic leukaemia. The skin lesions
"Absidia_24103142:Absidia
",2：肺组织病原学证据,Pathology and fungal culture fungal culture Pathology culture Path and fungal culture hemorrhagic ulcers were found and resected from the transplanted stomach. Pathology and fungal culture transplanted stomach. Pathology and fungal culture Pathology and fungal culture showed mucormycosis Pathology and fungal culture showed mucormycosis caused by Lichtheimia Pathology and fungal Surgical exploration fungal culture showed mucormycosis fungal culture showed mucormycosis caused by Lichtheimia hemorrhagic ulcers were found and resected from the transplanted stomach. Pathology fungal transplanted stomach. Pathology exploration Surgical exploration found a small necrotic area on the native stomach Surgical exploration found a small necrotic area
"Absidia_33906622:Absidia
",3：血及无菌体液（如脓胸液）,bronchoalveolar lavage fluid culture bronchoalveolar lavage fluid culture br bronchoalveolar lavage fluid culture bronchoalveolar lavage fluid culture confirmed the growth lavage fluid culture fluid bronchoalveolar lava sputum. He was first treated for community-acquired pneumonia until bronchoalveolar lavage fluid culture bronchoalveolar lavage fluid culture confirmed the growth of Absidia bronchoalveolar lavage fluid culture confirmed the growth of lavage fluid blood in the sputum. He was first treated for community-acquired pneumonia until bronchoalveolar lavage fluid culture culture confirmed the growth bronchoalveolar lavage fluid culture confirmed bronchoalveolar lavage fluid culture confirmed the bronchoalveolar bronchoal
"Absidia_corymbifera_15836442:Absidia corymbifera
",none,"Microscopical examination Micro Microscopic Microscopical Microscopical examination showed acute necrohaemorrhagic colitis immunohistochemistry Necropsy immunohistochemistry in order to obtain a clear-cut diagnosis of mixed fungal infections hyperthermia and abnormal pulmonary auscultation sounds. Necropsy Dual mycotic infections are very rarely described, and the present case emphasizes the need of immunohistochemistry mycotic infections are very rarely described, and the present case emphasizes the need of immunohistochemistry Clinical signs included hyperthermia and abnormal pulmonary auscultation sounds. Necropsy abnormal pulmonary auscultation sounds. Necropsy prostration. Clinical signs included hyperthermia and abnormal pulmonary auscultation sounds. Necropsy sounds. Necropsy pulmonary auscultation sounds. Necropsy examination mixed fungal infections fungal infections lungs. Microscopical examination"
"Absidia_corymbifera_21761152:Absidia corymbifera
",none,"culture of the surgical materials culture endoscopic appearance, computerized tomography of the paranasal sinuses, and culture of the surgical materials surgical materials endoscopic appearance, computerized tomography of the paranasal sinuses, and culture culture of the surgical materials the surgical materials and culture of the surgical materials endoscopic appearance, computerized tomography of the paranasal sinuses, and culture of the surgical surgical and culture culture of endoscopic appearance, computerized tomography of the paranasal sinuses, and culture of the surgical materials. endoscopic appearance, computerized tomography of the paranasal sinuses paranasal sinuses, and culture of the surgical materials of the surgical materials paranasal sinuses, and culture culture of the surgical materials. Following aggressive surgical debridement and parenteral amphotericin B therapy appearance, computerized tomography of the paranasal sinuses, and culture of the surgical materials"
"Absidia_corymbifera_23307250:Absidia corymbifera
",none,"pulmonary Lichtheimia corymbifera (formerly Absidia corymbifera) zygomycosis zygomycosis. This report suggests that efficient diagnostics efficient diagnostics Mucorales in the class of Zygomycetes diagnostics zygomycosis her APL and without any signs of recurrence of zygomycosis. This report suggests that efficient diagnostics antifungal prophylaxis with posaconazole APL and without any signs of recurrence of zygomycosis. This report suggests that efficient diagnostics diagnostics, pulmonary Lichtheimia corymbifera (formerly Absidia corymbifera) zygomycosis pulmonary Lichtheimia corymbifera (formerly Absidia corymbifera) zygomycos the case of a 14-year-old girl with pediatric acute promyelocytic leukemia developed pulmonary Lichtheimia corymbifera (formerly Absidia corymbifera) zygomycosis zygomycosis. This report suggests that efficient diagnostics, increased physician awareness, and reliance on adjunctive surgical therapy efficient diagnostics, increased physician awareness, and reliance on adjunctive surgical therapy Mucorales pulmonary Lichtheimia corymbifera her APL and without any signs of recurrence of zygomycosis"
"Absidia_corymbifera_23904418:Absidia corymbifera
",2：肺组织病原学证据,pleural tap pleural tap with fungal elements identified repeatedly on subsequent pathology specimens right pleural tap right pleural tap with fungal elements identified repeatedly on subsequent pathology specimens a right pleural tap a right pleural tap with fungal elements identified repeatedly on subsequent pathology specimens Growth of Lichtheimia corymbifera was initially isolated following a right pleural tap isolated following a right pleural tap tap isolated following a right pleural tap with fungal elements identified repeatedly on subsequent pathology specimens tap with fungal elements identified repeatedly on subsequent pathology specimens fungal elements identified repeatedly on subsequent pathology specimens subsequent pathology specimens specimens repeatedly on subsequent pathology specimens initially isolated following a right pleural tap identified repeatedly on subsequent pathology specimens pathology specimens initially isolated following a right pleural tap with fungal elements identified repeatedly on subsequent pathology specimens Lichtheimia corymbifera was initially isolated following a right pleural tap
"Absidia_corymbifera_24850354:Absidia corymbifera
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,melt analysis high-resolution melt analysis bronchoalveolar lavage (BAL) samples bronchoalveolar lavage samples analysis melt PCR followed by high-resolution melt analysis PCR bronchoalveolar lavage bronchoalveolar lavage (BAL) high-resolution melt PCR/HRMA br bronchoalveolar lavage (BAL PCR/HRMA. Ninety (91%) BAL samples resolution melt analysis use of high-resolution melt analysis -resolution melt analysis samples from immunocompromised patients with pulmonary infiltrates by use of high-resolution melt analysis samples
"Absidia_corymbifera_25187314:Absidia corymbifera
",none,"mucormycosis observed 36 haematological patients with mucormycosis We prospectively observed 36 haematological patients with mucormycosis prospectively observed 36 haematological patients with mucormycosis haematological patients with mucormycosis with mucormycosis 36 haematological patients with mucormycosis patients with mucormycosis observed prospective study in Saint Petersburg, Russia.ABSTRACT:We prospectively observed 36 haematological patients with mucormycosis observed 36 haematological patients mucormycosis from nine hospitals of St. Petersburg mucormycos mucormycosis from nine hospitals We prospectively observed prospectively observed mucormycosis from mucormycosis from nine hospitals of St. Petersburg during 2004-2013. The most frequent underlying diseases were acute leukaemia mucormycosis was diagnosed 1-65 days after invasive aspergillosis mucormycosis from nine hospitals of St. Petersburg during"
