,gender,gender_origin
"Absidia_16012329:Absidia
",女,girl authors describe a 4-year-old girl describe a 4-year-old girl The authors describe a 4-year-old girl 4-year-old girl a 4-year-old girl year-old girl old girl -year-old girl girl with patients. The authors describe a 4-year-old girl -old girl . The authors describe a 4-year-old girl authors authors describe The authors authors describe a authors describe a 4 authors describe a 4-year-old authors describe a 4-year
"Absidia_23373895:Absidia
",none,patient 16-year-old patient old patient a 16-year-old patient -year-old patient year-old patient -old patient 16 patient with acute lymphoblastic leukaemia patient with in a 16-year-old patient 16-year-old 16-year 16- a 16 16-year-old patient with acute lymphoblastic leukaemia 16-year-old patient with 16-year- old in a 16
"Absidia_24103142:Absidia
",女,girl 4-year-old girl year-old girl -year-old girl old girl girl with -old girl girl with chronic intestinal pseudo-obstruction syndrome underwent a A 4-year-old girl girl with chronic intestinal pseudo-obstruction syndrome underwent a modified multi 4 4-year 4-year-old 4- 4-year- 4-year-old girl with 4-year-old girl with chronic intestinal pseudo-obstruction syndrome underwent a 4-year-old girl with chronic intestinal pseudo-obstruction syndrome underwent a modified multi year year-old
"Absidia_33906622:Absidia
",男,male 32-year-old male male who developed pulmonary mucormycosis without any known immunodeficiency. CASE PRESENTATION: The patient year-old male -year-old male old male -old male male who developed pulmonary mucormycosis without any known immunodeficiency. CASE PRESENTATION: The male who 32 patients 32-year patient 32-year-old patients. CONCLUSIONS: Pulmonary mucormycosis has variable clinical presentations and is difficult to identify. Due immunocompetent patients. 32- 32-year- high clinicians should make judgements regarding suspected cases
"Absidia_corymbifera_15836442:Absidia corymbifera
",女,female 6-year-old female female pony female p -year-old female old female year-old female -old female A 6-year-old female female pony died after 2 days of prostra female pony died after 2 days of prostration female pony died after 2 days of pro :A 6-year-old female female pony died pony.ABSTRACT:A 6-year-old female 6-year-old female pony 6 pony present 6-year-old female p
"Absidia_corymbifera_21761152:Absidia corymbifera
",none,"cases review review cases patient in review in review cases % in review % in review cases patient and review the 79 Mucormycosis cases reported in the last decade from Turkey. In our case in 49.4% in review 49.4% in review cases % in cases. It seems that strong clinical suspicion and early diagnosis, along with aggressive antifungal therapy and endoscopic sinus surgery, have great % cases. It seems cases. It review cases. It seems patient and review the 79 Mucormycosis cases reported in the last decade from Turkey. In our case"
"Absidia_corymbifera_23307250:Absidia corymbifera
",女,"girl 14-year-old girl we report the case of a 14-year-old girl a 14-year-old girl case of a 14-year-old girl report the case of a 14-year-old girl the case of a 14-year-old girl year-old girl Here, we report the case of a 14-year-old girl -year-old girl old girl -old girl , we report the case of a 14-year-old girl of a 14-year-old girl . Here, we report the case of a 14-year-old girl She 14 we report the case of a 14 we 14-year"
"Absidia_corymbifera_23904418:Absidia corymbifera
",none,"survival can result in survival survival despite the grave prognosis associated with disseminated mucormycosis. result in survival in survival therapy and reversal of immunosuppression, can result in survival , can result in survival can patient can result can result in can result in survival despite the grave prognosis associated with disseminated mucormycosis. result result in result in survival despite the grave prognosis associated with disseminated mucormycosis. in in survival despite the grave prognosis associated with disseminated mucormycosis. patient survived. This case therapy and reversal of immunosuppression, can , can"
"Absidia_corymbifera_24850354:Absidia corymbifera
",none,"patients 86 patients 86 analyzed 99 BAL samples from 86 patients total, between January 2009 and December 2012 we analyzed 99 BAL samples from 86 patients 99 BAL samples from 86 patients from 86 patients we analyzed 99 BAL samples from 86 patients samples from 86 patients analyzed 99 BAL samples from 86 total, between January 2009 and December 2012 we analyzed 99 BAL samples from 86 99 BAL samples from 86 , between January 2009 and December 2012 we analyzed 99 BAL samples from 86 patients from 86 we analyzed 99 BAL samples from 86 January 2009 and December 2012 we analyzed 99 BAL samples from 86 patients between January 2009 and December 2012 we analyzed 99 BAL samples from 86 patients patients with samples from 86 patients with pulmonary abnormalities using PCR/HRMA. Ninety"
"Absidia_corymbifera_25187314:Absidia corymbifera
",none,patients observed 36 haematological patients 36 haematological patients patients with mucormycosis from nine hospitals We prospectively observed 36 haematological patients observed 36 observed 36 haematological patients with mucormycosis from nine hospitals hospitals 36 36 haematological patients with mucormycosis from nine hospitals patients with mucormycosis from nine hospitals from nine hospitals observed 36 haematological patients with mucormycosis from We prospectively observed 36 We prospectively observed 36 haematological patients with mucormycosis from nine hospitals observed 36 haematological patients with mucormycosis from from We prospectively observed 36 haematological patients with mucormycosis from
