,immu,immu_origin
"Absidia_16012329:Absidia
",抑制,immunosuppressing immunosuppressed patients. The authors describe a 4-year-old girl with acute lymphoblastic leukemia acute lymphoblastic leukemia immunosuppressed immunosuppressing illness immunosuppressed patients. The authors describe a 4-year-old girl with acute acute immunosuppressed patients treatment for acute lymphoblastic leukemia leukemia immunosuppressed patients. The authors describe a 4-year-old girl with acute lymphoblastic le acute lymphoblastic le lymphoblastic leukemia treatment leukemia.ABSTRACT:Absidia im immunosuppressed patients. The authors describe a 4-year-old girl with acute lymphoblastic leuke acute lymphoblastic leuke immunosuppressed patients. The authors describe a 4-year-old girl with acute lymphoblastic acute lymphoblastic
"Absidia_23373895:Absidia
",抑制,acute lymphoblastic leukaemia acute acute lymphoblastic le lymphoblastic leukaemia with acute lymphoblastic leukaemia leukaemia. leukaemia acute lymphoblastic acute lymphoblastic leuka acute l patient with acute lymphoblastic leukaemia acute lymphob acute lymph with with acute lymphoblastic le lymphoblastic leukaemia. with acute lymphoblastic le le immune compromised patients
"Absidia_24103142:Absidia
",抑制,"solid organ transplant patients organ transplant patients transplant patients patients solid organ transplant solid organ solid multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients, multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients, organ transplant organ transplant transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant multivisceral transplantation.ABSTRACT:Mucormycosis, multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ multivisceral transplantation multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid after multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients"
"Absidia_33906622:Absidia
",抑制,immunocompromised immunocompetent immunocompromised patients. Isolated pulmonary mucormycosis in immunocompetent immunocompetent patient immunocompromised patients immunocompromised patients. Isolated pulmonary mucormycosis in immunocompetent patients immunocompetent patients immunodeficiency immunocompromised patients. Isolated pulmonary mucormycosis in im im known immunodeficiency patient patients. Isolated pulmonary mucormycosis in immunocompetent immunocompetent patients. immunocompetent patient: immunode patients patients. Isolated pulmonary mucormycosis in immunocompetent patients immunodeficiency. any known immunodeficiency
"Absidia_corymbifera_15836442:Absidia corymbifera
",none,female female pony died after 2 days of prostra female pony died female pony female pony died after 2 days of pro female pony died after 2 days of prostration died after 2 days of prostra old female prostra female p female pony died after year-old female -old female female pony died after 2 A 6-year-old female 6-year-old female pony died after 2 days of prostra old female pony died after 2 days of prostra after 2 days of prostra pony.ABSTRACT:A 6-year-old female
"Absidia_corymbifera_21761152:Absidia corymbifera
",抑制,acute lymphoblastic leukemia leukemic acute lymphoblastic leukemia patient leukemic patient acute lymphoblastic leukemia leukemia acute lymphoblastic le lymphoblastic leukemia patient patient acute lymphoblastic leuke acute lymphoblastic le leukemia patient leuke acute l acute lymphob lymphoblastic le acute lymph lymphoblastic leuke
"Absidia_corymbifera_23307250:Absidia corymbifera
",抑制,immunocompromised acute promyelocytic leukemia acute immunocompromised children with hematological malignancies acute promyelocytic leukemia (APL acute promyelocytic leukemia (AP acute promyelocytic leukemia (APL) immunocompromised children with hematological ma immunocompromised children with hematological maligna leukemia promyelocytic leukemia pediatric acute promyelocytic leukemia acute promyelocytic im acute promyelocytic leuke acute promyelocytic le immunocompromised children with hem with pediatric acute promyelocytic leukemia immunocompromised children with hematological acute promyelocytic leukemia (
"Absidia_corymbifera_23904418:Absidia corymbifera
",抑制,"immunosuppressed immunosuppressed patients neutropenic neutropenic patient with T-cell acute lymphoblastic leukaemia immunosuppressed patients, with reported mortality rates of 95% in disseminated disease. We present a case report of a patient acute lymphoblastic leukaemia immunosuppressed patients, with reported mortality rates of 95% in disseminated disease. We present a case report of a patient with leukaemia.ABSTRACT:Mucormycosis immunosuppressed patients, with reported mortality rates of 95% in disseminated disease. We present a case report of a patient with T neutropenic patient immunosuppression T-cell acute lymphoblastic leukaemia im patient with T-cell acute lymphoblastic leukaemia neutropenic patient with T-cell acute lymphoblastic leukaemia.ABSTRACT:Mucormycosis immunosuppress leukaemia with T-cell acute lymphoblastic leukaemia cell acute lymphoblastic leukaemia acute"
"Absidia_corymbifera_24850354:Absidia corymbifera
",抑制,immunocompromised immunocompromised patients im immunocompromised host patients immunocompromised patients who immunocom immuno immunocompromised patients who were at from immunocompromised immunocomp immunocomprom immu immunocompromised patients with pulmonary infiltrates by use of high-resolution melt immunocompromised patients who were immunocompromised patients who were at risk immunocompromised patients for the four most clinically important mucormycetes. in immunocompromised represents a fast and reliable tool for routine BAL sample screening for the differential diagnosis of pulmonary infiltrates in immunocompromised from immunocompromised patients
"Absidia_corymbifera_25187314:Absidia corymbifera
",none,"acute leukaemia haematological acute leukaemia haematological patients haematological patients: case report and results of prospective study in Saint Petersburg, Russia.ABSTRACT:We prospectively observed 36 haematological haematological patients with mucormycosis from nine hospitals of St. Petersburg during 2004-2013. The most frequent underlying diseases acute le haematological patients: haematological patients with mucormycosis from nine hospitals of St. Petersburg during 2004-2013. The most frequent underlying diseases were acute ha patients: case report and results of prospective study in Saint Petersburg, Russia.ABSTRACT:We prospectively observed 36 haematological haemato haema acute leuka patients diseases were acute leukaemia haematological patients: case report and results of prospective study in Saint Petersburg, Russia.ABSTRACT:We prospectively observed 36 ha acute leukaemia (64%), and main risk factors were prolonged neutropenia le"
