,num,num_origin
"Absidia_16012329:Absidia
",1,a
"Absidia_23373895:Absidia
",1,a case
"Absidia_24103142:Absidia
",1,A
"Absidia_33906622:Absidia
",1,a case
"Absidia_corymbifera_15836442:Absidia corymbifera
",1,A
"Absidia_corymbifera_21761152:Absidia corymbifera
",1,a case
"Absidia_corymbifera_23307250:Absidia corymbifera
",1,a
"Absidia_corymbifera_23904418:Absidia corymbifera
",1,a case
"Absidia_corymbifera_24850354:Absidia corymbifera
",10-100,86
"Absidia_corymbifera_25187314:Absidia corymbifera
",10-100,36
"Absidia_corymbifera_2689623:Absidia corymbifera
",1-10,four
"Absidia_corymbifera_28197828:Absidia corymbifera
",1,a
"Absidia_corymbifera_30083512:Absidia corymbifera
",1,a case
"Absidia_corymbifera_30338581:Absidia corymbifera
",10-100,Fifteen cases
"Absidia_corymbifera_32388712:Absidia corymbifera
",1,first case
"Absidia_corymbifera_33194153:Absidia corymbifera
",1,a case
"Absidia_corymbifera_33253454:Absidia corymbifera
",>100,214 cases
"Absidia_ornata_32388712:Absidia ornata
",1,first case
"Absidia_ramosa_24103142:Absidia ramosa
",1,A
"Absidia_ramosa_24925144:Absidia ramosa
",1,a fatal case of pulmonary mucormycosis due to Lichtheimia ramosa in a
"Absidia_ramosa_25250768:Absidia ramosa
",10-100,71
"Absidia_ramosa_25587084:Absidia ramosa
",10-100,38
"Absidia_ramosa_26645867:Absidia ramosa
",1,An
"Absidia_ramosa_27445521:Absidia ramosa
",1,"a fatal case of mucormycosis, affecting a"
"Absidia_ramosa_29526942:Absidia ramosa
",1,A
"Absidia_ramosa_29642408:Absidia ramosa
",10-100,82
"Absidia_ramosa_30879588:Absidia ramosa
",1,a rare case
"Acremonium_16410951:Acremonium
",1,a
"Acremonium_1895586:Acremonium
",1,a
"Acremonium_1956281:Acremonium
",none,infections
"Acremonium_22402374:Acremonium
",1,a
"Acremonium_26528372:Acremonium
",1,a
"Acremonium_28491812:Acremonium
",1,a case
"Acremonium_atrogriseum_21068274:Acremonium atrogriseum
",>100,119
"Acremonium_implicatum_21068274:Acremonium implicatum
",>100,119
"Acremonium_kiliense_16410951:Acremonium kiliense
",1,a
"Acremonium_kiliense_21068274:Acremonium kiliense
",>100,119
"Acremonium_kiliense_24002104:Acremonium kiliense
",1,A case
"Acremonium_kiliense_28327806:Acremonium kiliense
",>100,117
"Acremonium_recifei_21068274:Acremonium recifei
",>100,119
"Acrophialophora_11101597:Acrophialophora
",1,A
"Acrophialophora_15762812:Acrophialophora
",1,Two cases of scalp wound colonization and respiratory tract by mycelial fungi].ABSTRACT:One case
"Acrophialophora_25716450:Acrophialophora
",1,a set of
"Acrophialophora_31615438:Acrophialophora
",1,A
"Acrophialophora_32008965:Acrophialophora
",1,a case
"Acrophialophora_fusispora_11101597:Acrophialophora fusispora
",1,A
"Acrophialophora_fusispora_15762812:Acrophialophora fusispora
",1,Two cases of scalp wound colonization and respiratory tract by mycelial fungi].ABSTRACT:One case
"Acrophialophora_fusispora_25716450:Acrophialophora fusispora
",1,a set of
"Acrophialophora_fusispora_32008965:Acrophialophora fusispora
",1,a case
"Actinomucor_elegans_31410599:Actinomucor elegans
",1,A
"Ajellomyces_capsulatus_11602023:Ajellomyces capsulatus
",1,1
"Ajellomyces_capsulatus_11694904:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_11695094:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_11780341:Ajellomyces capsulatus
",>100,138
"Ajellomyces_capsulatus_13339824:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_14525547:Ajellomyces capsulatus
",1,an
"Ajellomyces_capsulatus_14663287:Ajellomyces capsulatus
",10-100,79
"Ajellomyces_capsulatus_15569333:Ajellomyces capsulatus
",10-100,13
"Ajellomyces_capsulatus_1556966:Ajellomyces capsulatus
",1,a case
"Ajellomyces_capsulatus_16145175:Ajellomyces capsulatus
",1,a case
"Ajellomyces_capsulatus_16331860:Ajellomyces capsulatus
",10-100,31
"Ajellomyces_capsulatus_16440543:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_16548287:Ajellomyces capsulatus
",10-100,31
"Ajellomyces_capsulatus_17152648:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_17278049:Ajellomyces capsulatus
",10-100,19 patients
"Ajellomyces_capsulatus_17998368:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_18574291:Ajellomyces capsulatus
",1-10,two
"Ajellomyces_capsulatus_1881420:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_19294867:Ajellomyces capsulatus
",none,:The importance of fungal infection of the lung in immunocompromised patients
"Ajellomyces_capsulatus_19645867:Ajellomyces capsulatus
",none,.
"Ajellomyces_capsulatus_20410844:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_20414100:Ajellomyces capsulatus
",10-100,20 cases
"Ajellomyces_capsulatus_21601471:Ajellomyces capsulatus
",>100,296
