,age,age_origin
"Acciptrid_herpesvirus_1_29800471:Acciptrid herpesvirus 1
",1岁以下,33-month-old
"Acciptrid_herpesvirus_1_29956379:Acciptrid herpesvirus 1
",none,organ
"Acciptrid_herpesvirus_1_30244544:Acciptrid herpesvirus 1
",1-17岁,56.7 +- 15
"Acciptrid_herpesvirus_1_30267802:Acciptrid herpesvirus 1
",17-65岁,64
"Acciptrid_herpesvirus_1_30397829:Acciptrid herpesvirus 1
",>65岁,65
"Acciptrid_herpesvirus_1_30504509:Acciptrid herpesvirus 1
",17-65岁,27
"Acciptrid_herpesvirus_1_30633815:Acciptrid herpesvirus 1
",none,cohort
"Acciptrid_herpesvirus_1_30742492:Acciptrid herpesvirus 1
",>65岁,738
"Acciptrid_herpesvirus_1_30879589:Acciptrid herpesvirus 1
",17-65岁,47-year-old
"Acciptrid_herpesvirus_1_31436571:Acciptrid herpesvirus 1
",none,.
"Acciptrid_herpesvirus_1_31566097:Acciptrid herpesvirus 1
",none,.
"Acciptrid_herpesvirus_1_31628883:Acciptrid herpesvirus 1
",none,s
"Acciptrid_herpesvirus_1_31640840:Acciptrid herpesvirus 1
",>65岁,older
"Acciptrid_herpesvirus_1_31888503:Acciptrid herpesvirus 1
",>65岁,84-year-old
"Acciptrid_herpesvirus_1_31924246:Acciptrid herpesvirus 1
",none,-
"Acciptrid_herpesvirus_1_32264973:Acciptrid herpesvirus 1
",none,real
"Acciptrid_herpesvirus_1_32456697:Acciptrid herpesvirus 1
",none,.
"Acciptrid_herpesvirus_1_32552904:Acciptrid herpesvirus 1
",none,survival
"Acciptrid_herpesvirus_1_32555213:Acciptrid herpesvirus 1
",1-17岁,5
"Acciptrid_herpesvirus_1_32629035:Acciptrid herpesvirus 1
",17-65岁,adult
"Acciptrid_herpesvirus_1_32654738:Acciptrid herpesvirus 1
",>65岁,72-year-old
"Acciptrid_herpesvirus_1_32696252:Acciptrid herpesvirus 1
",>65岁,89
"Acciptrid_herpesvirus_1_32740125:Acciptrid herpesvirus 1
",>65岁,2018
"Acciptrid_herpesvirus_1_32810961:Acciptrid herpesvirus 1
",>65岁,122
"Acciptrid_herpesvirus_1_32992438:Acciptrid herpesvirus 1
",17-65岁,48
"Acciptrid_herpesvirus_1_33106188:Acciptrid herpesvirus 1
",>65岁,112
"Acciptrid_herpesvirus_1_33111704:Acciptrid herpesvirus 1
",none,intensive
"Acciptrid_herpesvirus_1_33190442:Acciptrid herpesvirus 1
",17-65岁,32(8-62
"Acciptrid_herpesvirus_1_33194423:Acciptrid herpesvirus 1
",none,patients
"Acciptrid_herpesvirus_1_33210494:Acciptrid herpesvirus 1
",none,operation
"Acciptrid_herpesvirus_1_33230710:Acciptrid herpesvirus 1
",17-65岁,48 (42-56
"Acciptrid_herpesvirus_1_33290524:Acciptrid herpesvirus 1
",>65岁,2139
"Acciptrid_herpesvirus_1_33430796:Acciptrid herpesvirus 1
",17-65岁,adults
"Acciptrid_herpesvirus_1_33468829:Acciptrid herpesvirus 1
",>65岁,80-year-old
"Acciptrid_herpesvirus_1_33773605:Acciptrid herpesvirus 1
",none,AM
"Acciptrid_herpesvirus_1_33851733:Acciptrid herpesvirus 1
",1-17岁,15
"Acciptrid_herpesvirus_1_33926298:Acciptrid herpesvirus 1
",none,HSV
"Acciptrid_herpesvirus_1_33947335:Acciptrid herpesvirus 1
",>65岁,70
"Acciptrid_herpesvirus_1_34030103:Acciptrid herpesvirus 1
",none,and
"Acciptrid_herpesvirus_1_34058813:Acciptrid herpesvirus 1
",>65岁,118
"Acciptrid_herpesvirus_1_34146746:Acciptrid herpesvirus 1
",1-17岁,6
"Acciptrid_herpesvirus_1_34197543:Acciptrid herpesvirus 1
",17-65岁,18
"Acciptrid_herpesvirus_1_34290701:Acciptrid herpesvirus 1
",none,a
"Acciptrid_herpesvirus_1_34364400:Acciptrid herpesvirus 1
",17-65岁,53-year-old
"Acciptrid_herpesvirus_1_34482844:Acciptrid herpesvirus 1
",1-17岁,5-year-old
"Acciptrid_herpesvirus_1_34525962:Acciptrid herpesvirus 1
",none,patients
"Acciptrid_herpesvirus_1_34576791:Acciptrid herpesvirus 1
",>65岁,70
"Acciptrid_herpesvirus_1_34823946:Acciptrid herpesvirus 1
",17-65岁,51 (39-64
"Acciptrid_herpesvirus_1_34863102:Acciptrid herpesvirus 1
",17-65岁,64-year-old
"Acciptrid_herpesvirus_1_34872585:Acciptrid herpesvirus 1
",1岁以下,19-month-old
"Acciptrid_herpesvirus_1_34872611:Acciptrid herpesvirus 1
",17-65岁,60
"Acciptrid_herpesvirus_1_34876129:Acciptrid herpesvirus 1
",none,we
"Actinomycetes_phage_108-016_33560672:Actinomycetes phage 108-016
",>65岁,older
"Actinomycetes_phage_A1-Dat_33560672:Actinomycetes phage A1-Dat
",>65岁,older
"Actinomycetes_phage_f115-A_33560672:Actinomycetes phage f115-A
",>65岁,older
"Actinomycetes_phage_fUW21_33560672:Actinomycetes phage fUW21
",>65岁,older
"Adeno-associated_virus_3_26016346:Adeno-associated virus 3
",1-17岁,16
"Adeno-associated_virus_3_2827279:Adeno-associated virus 3
",17-65岁,adult
"Adeno-associated_virus_3_29050992:Adeno-associated virus 3
",>65岁,65
"Adeno-associated_virus_4_29050992:Adeno-associated virus 4
",>65岁,65
"Adeno-associated_virus_4_34196026:Adeno-associated virus 4
",17-65岁,20
"AG83-1746_virus_34979686:AG83-1746 virus
",1-17岁,young
"AG83-1746_virus_34981690:AG83-1746 virus
",none,reduction
"AG83-1746_virus_34981695:AG83-1746 virus
",1-17岁,younger
"AG83-1746_virus_34982460:AG83-1746 virus
",17-65岁,38-year-old
"AG83-1746_virus_34982463:AG83-1746 virus
",17-65岁,60-year-old
"AG83-1746_virus_34982465:AG83-1746 virus
",17-65岁,middle-aged
"AG83-1746_virus_34985120:AG83-1746 virus
",none,IHCA
"AG83-1746_virus_34987501:AG83-1746 virus
",1-17岁,eight-year old
"AG83-1746_virus_34987943:AG83-1746 virus
",1-17岁,eight-year-old
"AG83-1746_virus_34988242:AG83-1746 virus
",17-65岁,40-year-old
"AG83-1746_virus_34990342:AG83-1746 virus
",none,contagion and costs associated to medical care. This review of the principal dermatologic conditions during confinement
"AG83-1746_virus_34990346:AG83-1746 virus
",17-65岁,40
"AG83-1746_virus_34992320:AG83-1746 virus
",17-65岁,59-year-old patient were approximately half those of a 41-year-old
"AG83-1746_virus_34992722:AG83-1746 virus
",none,care
"AG83-1746_virus_34993157:AG83-1746 virus
",1-17岁,six
"AG83-497_virus_34979686:AG83-497 virus
",1-17岁,young
"AG83-497_virus_34981690:AG83-497 virus
",none,reduction
"AG83-497_virus_34982460:AG83-497 virus
",17-65岁,38-year-old
"AG83-497_virus_34982465:AG83-497 virus
",17-65岁,middle-aged
"AG83-497_virus_34985120:AG83-497 virus
",none,.
"AG83-497_virus_34987123:AG83-497 virus
",none,basal
"AG83-497_virus_34987501:AG83-497 virus
",1-17岁,eight-year old
"AG83-497_virus_34987943:AG83-497 virus
",1-17岁,eight-year-old
"AG83-497_virus_34988242:AG83-497 virus
",17-65岁,40-year-old
"AG83-497_virus_34990346:AG83-497 virus
",17-65岁,40
"AG83-497_virus_34992722:AG83-497 virus
",none,care
"AG83-497_virus_34992881:AG83-497 virus
",none,onboarding
"AG83-497_virus_34993157:AG83-497 virus
",1-17岁,six
"Agrochola_helvolva_cypovirus_6_16607737:Agrochola helvolva cypovirus 6
",1-17岁,3
"Agrochola_helvolva_cypovirus_6_1661224:Agrochola helvolva cypovirus 6
",17-65岁,58
"Agrochola_helvolva_cypovirus_6_205973:Agrochola helvolva cypovirus 6
",none,.
"Agrochola_helvolva_cypovirus_6_22862952:Agrochola helvolva cypovirus 6
",1-17岁,a child
"Agrochola_helvolva_cypovirus_6_3023441:Agrochola helvolva cypovirus 6
",17-65岁,18
"Agrochola_helvolva_cypovirus_6_33500370:Agrochola helvolva cypovirus 6
",1-17岁,8
"Agrochola_helvolva_cypovirus_6_33539399:Agrochola helvolva cypovirus 6
",1-17岁,five
"Agrochola_helvolva_cypovirus_6_34052409:Agrochola helvolva cypovirus 6
",none,theFUT3
"Akabane_virus_32734101:Akabane virus
",17-65岁,24
"Alcelaphine_herpesvirus_2_12241033:Alcelaphine herpesvirus 2
",none,family
"Aleutian_mink_disease_virus_19705175:Aleutian mink disease virus
",1-17岁,5
"Allitrich_herpesvirus_1_29800471:Allitrich herpesvirus 1
",1岁以下,33-month-old
"Allitrich_herpesvirus_1_30244544:Allitrich herpesvirus 1
",1-17岁,56.7 +- 15
"Allitrich_herpesvirus_1_30267802:Allitrich herpesvirus 1
",17-65岁,64
"Allitrich_herpesvirus_1_30397829:Allitrich herpesvirus 1
",>65岁,65
"Allitrich_herpesvirus_1_30504509:Allitrich herpesvirus 1
",17-65岁,27
"Allitrich_herpesvirus_1_30633815:Allitrich herpesvirus 1
",>65岁,1998
"Allitrich_herpesvirus_1_30742492:Allitrich herpesvirus 1
",none,allogeneic
"Allitrich_herpesvirus_1_30879589:Allitrich herpesvirus 1
",17-65岁,47-year-old
"Allitrich_herpesvirus_1_31436571:Allitrich herpesvirus 1
",none,.
"Allitrich_herpesvirus_1_31566097:Allitrich herpesvirus 1
",none,up
"Allitrich_herpesvirus_1_31640840:Allitrich herpesvirus 1
",>65岁,older
"Allitrich_herpesvirus_1_31888503:Allitrich herpesvirus 1
",>65岁,84-year-old
"Allitrich_herpesvirus_1_31924246:Allitrich herpesvirus 1
",1-17岁,seven
"Allitrich_herpesvirus_1_32264973:Allitrich herpesvirus 1
",none,real
"Allitrich_herpesvirus_1_32456697:Allitrich herpesvirus 1
",none,.
"Allitrich_herpesvirus_1_32552904:Allitrich herpesvirus 1
",none,survival
"Allitrich_herpesvirus_1_32555213:Allitrich herpesvirus 1
",1-17岁,5
"Allitrich_herpesvirus_1_32615937:Allitrich herpesvirus 1
",none,conclusion
"Allitrich_herpesvirus_1_32629035:Allitrich herpesvirus 1
",17-65岁,adult
"Allitrich_herpesvirus_1_32654738:Allitrich herpesvirus 1
",>65岁,72-year-old
"Allitrich_herpesvirus_1_32696252:Allitrich herpesvirus 1
",>65岁,89
"Allitrich_herpesvirus_1_32740125:Allitrich herpesvirus 1
",>65岁,2018
"Allitrich_herpesvirus_1_32810961:Allitrich herpesvirus 1
",>65岁,122
"Allitrich_herpesvirus_1_32992438:Allitrich herpesvirus 1
",17-65岁,48
"Allitrich_herpesvirus_1_33106188:Allitrich herpesvirus 1
",>65岁,112
"Allitrich_herpesvirus_1_33111704:Allitrich herpesvirus 1
",none,intensive
"Allitrich_herpesvirus_1_33190442:Allitrich herpesvirus 1
",17-65岁,32(8-62
"Allitrich_herpesvirus_1_33194423:Allitrich herpesvirus 1
",none,patients
"Allitrich_herpesvirus_1_33210494:Allitrich herpesvirus 1
",none,misdiagnosed
"Allitrich_herpesvirus_1_33230710:Allitrich herpesvirus 1
",17-65岁,48 (42-56
"Allitrich_herpesvirus_1_33290524:Allitrich herpesvirus 1
",>65岁,2139
"Allitrich_herpesvirus_1_33430796:Allitrich herpesvirus 1
",17-65岁,adults
"Allitrich_herpesvirus_1_33468829:Allitrich herpesvirus 1
",>65岁,80-year-old
"Allitrich_herpesvirus_1_33773605:Allitrich herpesvirus 1
",none,AM
"Allitrich_herpesvirus_1_33851733:Allitrich herpesvirus 1
",1-17岁,15
"Allitrich_herpesvirus_1_33926298:Allitrich herpesvirus 1
",none,patient
"Allitrich_herpesvirus_1_33947335:Allitrich herpesvirus 1
",>65岁,70
"Allitrich_herpesvirus_1_34030103:Allitrich herpesvirus 1
",none,"reactivation, and"
"Allitrich_herpesvirus_1_34058813:Allitrich herpesvirus 1
",>65岁,118
"Allitrich_herpesvirus_1_34146746:Allitrich herpesvirus 1
",1-17岁,6
"Allitrich_herpesvirus_1_34197543:Allitrich herpesvirus 1
",17-65岁,18
"Allitrich_herpesvirus_1_34290701:Allitrich herpesvirus 1
",none,a
"Allitrich_herpesvirus_1_34364400:Allitrich herpesvirus 1
",17-65岁,53-year-old
"Allitrich_herpesvirus_1_34482844:Allitrich herpesvirus 1
",1-17岁,5-year-old
"Allitrich_herpesvirus_1_34525962:Allitrich herpesvirus 1
",>65岁,2020
"Allitrich_herpesvirus_1_34576791:Allitrich herpesvirus 1
",>65岁,70
"Allitrich_herpesvirus_1_34823946:Allitrich herpesvirus 1
",17-65岁,51 (39-64
"Allitrich_herpesvirus_1_34863102:Allitrich herpesvirus 1
",17-65岁,64-year-old
"Allitrich_herpesvirus_1_34872585:Allitrich herpesvirus 1
",1岁以下,19-month-old
"Allitrich_herpesvirus_1_34872611:Allitrich herpesvirus 1
",17-65岁,60
"Amapari_virus_6308382:Amapari virus
",none,.
"Ananindeua_virus_25992928:Ananindeua virus
",>65岁,14 to 75
"Ananindeua_virus_27835759:Ananindeua virus
",17-65岁,36-year-old
"Ananindeua_virus_31215861:Ananindeua virus
",1-17岁,10
"Ananindeua_virus_31230362:Ananindeua virus
",1-17岁,3 months to 10
"Antequera_virus_20702662:Antequera virus
",17-65岁,adults
"Antequera_virus_31421285:Antequera virus
",17-65岁,36-55
"Apeu_virus_12467:Apeu virus
",none,Slovakia
"Apeu_virus_1928573:Apeu virus
",17-65岁,60
"Apeu_virus_31220115:Apeu virus
",17-65岁,2-54
"Apeu_virus_33630998:Apeu virus
",17-65岁,adult
"Apeu_virus_9559529:Apeu virus
",17-65岁,30
"Ateline_herpesvirus_2_10337942:Ateline herpesvirus 2
",17-65岁,32-year-old
"Ateline_herpesvirus_2_10908018:Ateline herpesvirus 2
",1-17岁,two
"Ateline_herpesvirus_2_11510785:Ateline herpesvirus 2
",>65岁,91
"Ateline_herpesvirus_2_16413694:Ateline herpesvirus 2
",17-65岁,64-year-old
"Ateline_herpesvirus_2_25019430:Ateline herpesvirus 2
",none,high
"Ateline_herpesvirus_2_25445068:Ateline herpesvirus 2
",none,empty
"Ateline_herpesvirus_2_34853045:Ateline herpesvirus 2
",17-65岁,30-year-old
"Aujeszky's_disease_virus_16030803:Aujeszky's disease virus
",none,production
"Aujeszky's_disease_virus_171824:Aujeszky's disease virus
",none,respective
