,num,num_origin
"adeno-associated_virus_2827279:adeno-associated virus
",none,these
"African_Horsesickness_virus_29519857:African Horsesickness virus
",1-10,three
"Aichivirus_A_22568605:Aichivirus A
",>100,878
"Akabane_virus_32734101:Akabane virus
",1,a case
"Allpahuayo_virus_6308382:Allpahuayo virus
",none,:
"Alphavirus_18694529:Alphavirus
",1-10,six
"Alphavirus_19068981:Alphavirus
",1-10,two
"Alphavirus_29906040:Alphavirus
",1,Case
"Alphavirus_9410246:Alphavirus
",1,first case
"Amapari_virus_6308382:Amapari virus
",none,:
"Amur_virus_27636932:Amur virus
",none,The results of the investigation
"Anajatuba_virus_15496259:Anajatuba virus
",>100,":In 2000, the first"
"Anajatuba_virus_21122229:Anajatuba virus
",none,.
"Anajatuba_virus_24508343:Anajatuba virus
",>100,4000
"Ananindeua_virus_25992928:Ananindeua virus
",>100,700
"Ananindeua_virus_27835759:Ananindeua virus
",1-10,three
"Ananindeua_virus_31215861:Ananindeua virus
",10-100,54
"Ananindeua_virus_31230362:Ananindeua virus
",>100,150
"Andes_virus_10413962:Andes virus
",1-10,Two cases
"Andes_virus_10742726:Andes virus
",1-10,three
"Andes_virus_10780770:Andes virus
",>100,241
"Andes_virus_11035576:Andes virus
",1-10,Seven
"Andes_virus_11244810:Andes virus
",>100,129
"Andes_virus_11784935:Andes virus
",none,:The seroprevalence of Chlamydia pneumoniae and Mycoplasma pneumoniae in hantavirus seronegative patients
"Andes_virus_12878094:Andes virus
",>100,492
"Andes_virus_12890323:Andes virus
",>100,830
"Andes_virus_12966548:Andes virus
",>100,818
"Andes_virus_14532254:Andes virus
",1,a
"Andes_virus_15163237:Andes virus
",1,An
"Andes_virus_15474623:Andes virus
",10-100,50 patients
"Andes_virus_15763221:Andes virus
",1,a patient
"Andes_virus_16676106:Andes virus
",10-100,98
"Andes_virus_16810539:Andes virus
",1,A
"Andes_virus_17146421:Andes virus
",none,.
"Andes_virus_17694939:Andes virus
",1,A
"Andes_virus_18460521:Andes virus
",none,:
"Andes_virus_18712099:Andes virus
",10-100,31
"Andes_virus_18992690:Andes virus
",1,A
"Andes_virus_19199189:Andes virus
",none,introduced
"Andes_virus_19268795:Andes virus
",none,:
"Andes_virus_19684976:Andes virus
",10-100,70
"Andes_virus_20087179:Andes virus
",1-10,Two
"Andes_virus_20171551:Andes virus
",none,.
"Andes_virus_21670936:Andes virus
",none,:
"Andes_virus_23282770:Andes virus
",>100,159
"Andes_virus_23670277:Andes virus
",1,Another case
"Andes_virus_24094390:Andes virus
",1,an
"Andes_virus_2572978:Andes virus
",1,Another case
"Andes_virus_26087934:Andes virus
",10-100,73
"Andes_virus_27960210:Andes virus
",none,:
"Andes_virus_28161740:Andes virus
",10-100,43
"Andes_virus_29129538:Andes virus
",none,:
"Andes_virus_30136660:Andes virus
",1,a
"Andes_virus_30893528:Andes virus
",1-10,3
"Andes_virus_32283073:Andes virus
",1,A
"Andes_virus_32837494:Andes virus
",none,article
"Andes_virus_33666908:Andes virus
",1,a
"Andes_virus_33704045:Andes virus
",1-10,2
"Andes_virus_34211356:Andes virus
",none,piece
"Andes_virus_34222146:Andes virus
",none,adult
"Andes_virus_34271201:Andes virus
",>100,175
"Andes_virus_34287302:Andes virus
",1,a
"Andes_virus_34350315:Andes virus
",>100,385
"Andes_virus_34487097:Andes virus
",10-100,18
"Andes_virus_34603804:Andes virus
",1,a
"Andes_virus_34643226:Andes virus
",>100,139
"Andes_virus_34851327:Andes virus
",1,a
"Andes_virus_7887439:Andes virus
",>100,273
"Andes_virus_7907181:Andes virus
",none,:
