,Species,Search Term,PMID,If ,PatientInformation,Immunity,Evidence
0,Streptococcus hyovaginalis,Streptococcus hyovaginalis,10425783,0,,,
0,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],21726983,0,,,
1,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],20560419,1,1,1,1
2,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],17313025,1,1,1,1
3,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],3444019,1,1,,1
4,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],20052513,1,1,1,1
5,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],1814189,0,,,
6,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],28348265,1,,,
0,Streptococcus thermophilus,Streptococcus thermophilus AND pneumonia[Mesh],25344083,0,,,
0,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],21446172,1,1,1,1
1,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],28376744,1,0,0,1
2,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],17712470,1,1,1,1
3,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],9091032,1,1,1,1
4,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],21172126,1,1,1,1
5,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],7332884,1,1,1,1
6,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],21055271,1,1,1,1
7,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],3568596,0,,,
8,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],9570172,1,1,1,1
0,Streptococcus oralis,Streptococcus oralis AND pneumonia[Mesh],29031240,1,1,1,1
0,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],22644030,1,1,0,1
1,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],22278834,1,1,0,1
