,PMID,Species,Search Term
0,31093463,Enterococcus gallinarum,Enterococcus gallinarum
1,26036911,Enterococcus gallinarum,Enterococcus gallinarum
2,25948610,Enterococcus gallinarum,Enterococcus gallinarum
3,33153412,Enterococcus gallinarum,Enterococcus gallinarum
4,26074889,Enterococcus gallinarum,Enterococcus gallinarum
5,25804061,Enterococcus gallinarum,Enterococcus gallinarum
6,31990889,Enterococcus gallinarum,Enterococcus gallinarum
7,30643240,Enterococcus gallinarum,Enterococcus gallinarum
8,27341051,Enterococcus gallinarum,Enterococcus gallinarum
9,31579233,Enterococcus gallinarum,Enterococcus gallinarum
10,27166038,Enterococcus gallinarum,Enterococcus gallinarum
11,30303145,Enterococcus gallinarum,Enterococcus gallinarum
12,29375557,Enterococcus gallinarum,Enterococcus gallinarum
13,29396199,Enterococcus gallinarum,Enterococcus gallinarum
14,30825701,Enterococcus gallinarum,Enterococcus gallinarum
15,28397040,Enterococcus gallinarum,Enterococcus gallinarum
16,26283837,Enterococcus gallinarum,Enterococcus gallinarum
17,29982565,Enterococcus gallinarum,Enterococcus gallinarum
18,30931277,Enterococcus gallinarum,Enterococcus gallinarum
19,32478121,Enterococcus gallinarum,Enterococcus gallinarum
0,19653514,Enterococcus canis,Enterococcus canis
1,28470079,Enterococcus canis,Enterococcus canis
0,30914831,Enterococcus saccharolyticus,Enterococcus saccharolyticus
0,26074889,Enterococcus villorum,Enterococcus villorum
0,31209486,Enterococcus hirae,Enterococcus hirae
1,32688282,Enterococcus hirae,Enterococcus hirae
2,30955810,Enterococcus hirae,Enterococcus hirae
3,31454711,Enterococcus hirae,Enterococcus hirae
4,31651255,Enterococcus hirae,Enterococcus hirae
5,31598480,Enterococcus hirae,Enterococcus hirae
6,32820119,Enterococcus hirae,Enterococcus hirae
7,29932149,Enterococcus hirae,Enterococcus hirae
8,32185186,Enterococcus hirae,Enterococcus hirae
9,32715869,Enterococcus hirae,Enterococcus hirae
10,31492453,Enterococcus hirae,Enterococcus hirae
0,24649503,Enterococcus mundtii,Enterococcus mundtii
1,22011041,Enterococcus mundtii,Enterococcus mundtii
2,26074889,Enterococcus mundtii,Enterococcus mundtii
3,33036349,Enterococcus mundtii,Enterococcus mundtii
4,21167172,Enterococcus mundtii,Enterococcus mundtii
5,26689230,Enterococcus mundtii,Enterococcus mundtii
6,20127245,Enterococcus mundtii,Enterococcus mundtii
7,28736550,Enterococcus mundtii,Enterococcus mundtii
8,24942651,Enterococcus mundtii,Enterococcus mundtii
9,26544881,Enterococcus mundtii,Enterococcus mundtii
10,27081495,Enterococcus mundtii,Enterococcus mundtii
11,26193940,Enterococcus mundtii,Enterococcus mundtii
12,26783131,Enterococcus mundtii,Enterococcus mundtii
0,26036911,Enterococcus casseliflavus,Enterococcus casseliflavus
1,31466981,Enterococcus casseliflavus,Enterococcus casseliflavus
2,24649503,Enterococcus casseliflavus,Enterococcus casseliflavus
3,26074889,Enterococcus casseliflavus,Enterococcus casseliflavus
4,33036349,Enterococcus casseliflavus,Enterococcus casseliflavus
5,25290581,Enterococcus casseliflavus,Enterococcus casseliflavus
6,26744592,Enterococcus casseliflavus,Enterococcus casseliflavus
7,33111503,Enterococcus casseliflavus,Enterococcus casseliflavus
8,29396199,Enterococcus casseliflavus,Enterococcus casseliflavus
9,30825701,Enterococcus casseliflavus,Enterococcus casseliflavus
10,31425831,Enterococcus casseliflavus,Enterococcus casseliflavus
11,28397040,Enterococcus casseliflavus,Enterococcus casseliflavus
12,32535063,Enterococcus casseliflavus,Enterococcus casseliflavus
13,25725116,Enterococcus casseliflavus,Enterococcus casseliflavus
14,28500123,Enterococcus casseliflavus,Enterococcus casseliflavus
15,31493916,Enterococcus casseliflavus,Enterococcus casseliflavus
16,28428300,Enterococcus casseliflavus,Enterococcus casseliflavus
17,26997202,Enterococcus casseliflavus,Enterococcus casseliflavus
0,27111397,Enterococcus avium,Enterococcus avium
1,24396636,Enterococcus avium,Enterococcus avium
2,16679664,Enterococcus avium,Enterococcus avium
3,15767825,Enterococcus avium,Enterococcus avium
4,12467694,Enterococcus avium,Enterococcus avium
5,25786461,Enterococcus avium,Enterococcus avium
6,31012010,Enterococcus avium,Enterococcus avium
7,25549405,Enterococcus avium,Enterococcus avium
8,23328945,Enterococcus avium,Enterococcus avium
9,32563263,Enterococcus avium,Enterococcus avium
10,12522540,Enterococcus avium,Enterococcus avium
11,25317357,Enterococcus avium,Enterococcus avium
12,23427029,Enterococcus avium,Enterococcus avium
13,30825701,Enterococcus avium,Enterococcus avium
14,17675790,Enterococcus avium,Enterococcus avium
15,16418983,Enterococcus avium,Enterococcus avium
16,12808082,Enterococcus avium,Enterococcus avium
17,22473142,Enterococcus avium,Enterococcus avium
18,30607341,Enterococcus avium,Enterococcus avium
19,20433865,Enterococcus avium,Enterococcus avium
0,26074889,Enterococcus thailandicus,Enterococcus thailandicus
0,16230189,Enterococcus raffinosus,Enterococcus raffinosus
1,20203228,Enterococcus raffinosus,Enterococcus raffinosus
2,30227256,Enterococcus raffinosus,Enterococcus raffinosus
3,18436605,Enterococcus raffinosus,Enterococcus raffinosus
4,18372268,Enterococcus raffinosus,Enterococcus raffinosus
5,29071054,Enterococcus raffinosus,Enterococcus raffinosus
6,27726900,Enterococcus raffinosus,Enterococcus raffinosus
7,9350415,Enterococcus raffinosus,Enterococcus raffinosus
8,31493916,Enterococcus raffinosus,Enterococcus raffinosus
9,20433865,Enterococcus raffinosus,Enterococcus raffinosus
0,26036911,Enterococcus durans,Enterococcus durans
1,27127436,Enterococcus durans,Enterococcus durans
2,26074889,Enterococcus durans,Enterococcus durans
3,31579233,Enterococcus durans,Enterococcus durans
4,26164543,Enterococcus durans,Enterococcus durans
5,32760370,Enterococcus durans,Enterococcus durans
6,31243595,Enterococcus durans,Enterococcus durans
7,27425573,Enterococcus durans,Enterococcus durans
8,32175393,Enterococcus durans,Enterococcus durans
9,26361843,Enterococcus durans,Enterococcus durans
10,31662635,Enterococcus durans,Enterococcus durans
11,26640931,Enterococcus durans,Enterococcus durans
0,20433865,Enterococcus canintestini,Enterococcus canintestini
0,27511310,Enterococcus cecorum,Enterococcus cecorum
1,26199733,Enterococcus cecorum,Enterococcus cecorum
2,22978557,Enterococcus cecorum,Enterococcus cecorum
3,25686375,Enterococcus cecorum,Enterococcus cecorum
4,25860249,Enterococcus cecorum,Enterococcus cecorum
5,26185687,Enterococcus cecorum,Enterococcus cecorum
6,20622242,Enterococcus cecorum,Enterococcus cecorum
7,10970419,Enterococcus cecorum,Enterococcus cecorum
8,24164051,Enterococcus cecorum,Enterococcus cecorum
9,25055628,Enterococcus cecorum,Enterococcus cecorum
10,25619014,Enterococcus cecorum,Enterococcus cecorum
11,27350248,Enterococcus cecorum,Enterococcus cecorum
12,28934313,Enterococcus cecorum,Enterococcus cecorum
13,25539747,Enterococcus cecorum,Enterococcus cecorum
14,14766891,Enterococcus cecorum,Enterococcus cecorum
15,28476097,Enterococcus cecorum,Enterococcus cecorum
16,28193172,Enterococcus cecorum,Enterococcus cecorum
17,30339512,Enterococcus cecorum,Enterococcus cecorum
18,30328362,Enterococcus cecorum,Enterococcus cecorum
19,20433865,Enterococcus cecorum,Enterococcus cecorum
0,24041843,Enterococcus viikkiensis,Enterococcus viikkiensis
