,PMID,Species,Search Term
0,21877124,Staphylococcus massiliensis,Staphylococcus massiliensis
1,19666814,Staphylococcus massiliensis,Staphylococcus massiliensis
2,23209235,Staphylococcus massiliensis,Staphylococcus massiliensis
0,32913620,Staphylococcus pasteuri,Staphylococcus pasteuri
1,31720224,Staphylococcus pasteuri,Staphylococcus pasteuri
2,25115041,Staphylococcus pasteuri,Staphylococcus pasteuri
3,20007762,Staphylococcus pasteuri,Staphylococcus pasteuri
0,19654347,Staphylococcus microti,Staphylococcus microti
1,19819995,Staphylococcus microti,Staphylococcus microti
2,29773631,Staphylococcus microti,Staphylococcus microti
0,11696101,Staphylococcus lentus,Staphylococcus lentus
1,25889261,Staphylococcus lentus,Staphylococcus lentus
2,16857621,Staphylococcus lentus,Staphylococcus lentus
3,19233814,Staphylococcus lentus,Staphylococcus lentus
4,20544433,Staphylococcus lentus,Staphylococcus lentus
5,27470660,Staphylococcus lentus,Staphylococcus lentus
6,32775131,Staphylococcus lentus,Staphylococcus lentus
7,12399608,Staphylococcus lentus,Staphylococcus lentus
8,17533989,Staphylococcus lentus,Staphylococcus lentus
9,31327898,Staphylococcus lentus,Staphylococcus lentus
0,31992187,Staphylococcus succinus,Staphylococcus succinus
1,14657137,Staphylococcus succinus,Staphylococcus succinus
2,24010544,Staphylococcus succinus,Staphylococcus succinus
3,29550502,Staphylococcus succinus,Staphylococcus succinus
4,27492855,Staphylococcus succinus,Staphylococcus succinus
0,31114262,Staphylococcus saprophyticus,Staphylococcus saprophyticus
1,32099810,Staphylococcus saprophyticus,Staphylococcus saprophyticus
2,32456227,Staphylococcus saprophyticus,Staphylococcus saprophyticus
3,32428235,Staphylococcus saprophyticus,Staphylococcus saprophyticus
4,33014383,Staphylococcus saprophyticus,Staphylococcus saprophyticus
5,31963821,Staphylococcus saprophyticus,Staphylococcus saprophyticus
6,31030820,Staphylococcus saprophyticus,Staphylococcus saprophyticus
7,31067667,Staphylococcus saprophyticus,Staphylococcus saprophyticus
8,31362056,Staphylococcus saprophyticus,Staphylococcus saprophyticus
9,31921008,Staphylococcus saprophyticus,Staphylococcus saprophyticus
10,32855248,Staphylococcus saprophyticus,Staphylococcus saprophyticus
0,28330077,Staphylococcus simulans,Staphylococcus simulans
1,28527793,Staphylococcus simulans,Staphylococcus simulans
2,32253213,Staphylococcus simulans,Staphylococcus simulans
3,29573801,Staphylococcus simulans,Staphylococcus simulans
4,29882122,Staphylococcus simulans,Staphylococcus simulans
5,31731036,Staphylococcus simulans,Staphylococcus simulans
6,30405924,Staphylococcus simulans,Staphylococcus simulans
7,32339352,Staphylococcus simulans,Staphylococcus simulans
8,32122598,Staphylococcus simulans,Staphylococcus simulans
9,26971182,Staphylococcus simulans,Staphylococcus simulans
10,27144675,Staphylococcus simulans,Staphylococcus simulans
0,29651173,Staphylococcus gallinarum,Staphylococcus gallinarum
1,18367884,Staphylococcus gallinarum,Staphylococcus gallinarum
2,28527793,Staphylococcus gallinarum,Staphylococcus gallinarum
3,14657137,Staphylococcus gallinarum,Staphylococcus gallinarum
0,32359005,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
1,31821650,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
2,32775342,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
3,31825131,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
4,32768341,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
5,32587860,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
6,32576281,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
7,31355721,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
8,31619277,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
9,31236618,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
10,32031908,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
11,32793641,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
12,31737969,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
