,Species,Search Term,PMID,if,PatinetInfo,Immunity,Evidence
0,Streptococcus hyovaginalis,Streptococcus hyovaginalis,10425783,0,,,
0,Streptococcus equinus,Streptococcus equinus,31466981,0,,,
1,Streptococcus equinus,Streptococcus equinus,30914831,0,,,
0,Streptococcus infantis,Streptococcus infantis,24895247,0,,,
1,Streptococcus infantis,Streptococcus infantis,30671034,0,,,
2,Streptococcus infantis,Streptococcus infantis,32690600,0,,,
3,Streptococcus infantis,Streptococcus infantis,32298431,0,,,
4,Streptococcus infantis,Streptococcus infantis,21193474,0,,,
5,Streptococcus infantis,Streptococcus infantis,18316382,0,,,
6,Streptococcus infantis,Streptococcus infantis,22760039,0,,,
0,Streptococcus oligofermentans,Streptococcus oligofermentans,33111503,0,,,
1,Streptococcus oligofermentans,Streptococcus oligofermentans,19116351,0,,,
0,Streptococcus pseudoporcinus,Streptococcus pseudoporcinus,32670977,0,,,
1,Streptococcus pseudoporcinus,Streptococcus pseudoporcinus,19571017,0,,,
2,Streptococcus pseudoporcinus,Streptococcus pseudoporcinus,32373373,1,1,1,1
3,Streptococcus pseudoporcinus,Streptococcus pseudoporcinus,32173704,0,,,
4,Streptococcus pseudoporcinus,Streptococcus pseudoporcinus,23264498,0,,,
0,Streptococcus vestibularis,Streptococcus vestibularis,31562814,0,,,
1,Streptococcus vestibularis,Streptococcus vestibularis,29411528,0,,,
2,Streptococcus vestibularis,Streptococcus vestibularis,28942408,0,,,
3,Streptococcus vestibularis,Streptococcus vestibularis,33208745,0,,,
4,Streptococcus vestibularis,Streptococcus vestibularis,20963324,0,,,
0,Streptococcus australis,Streptococcus australis,21193474,0,,,
0,Streptococcus infantarius,Streptococcus infantarius,25514118,0,,,
1,Streptococcus infantarius,Streptococcus infantarius,24629902,0,,,
2,Streptococcus infantarius,Streptococcus infantarius,20445334,0,,,
3,Streptococcus infantarius,Streptococcus infantarius,23052307,0,,,
4,Streptococcus infantarius,Streptococcus infantarius,27216720,0,,,
0,Streptococcus iniae,Streptococcus iniae,31968265,0,,,
1,Streptococcus iniae,Streptococcus iniae,32845532,0,,,
2,Streptococcus iniae,Streptococcus iniae,32470509,0,,,
3,Streptococcus iniae,Streptococcus iniae,31991231,0,,,
4,Streptococcus iniae,Streptococcus iniae,31193988,0,,,
5,Streptococcus iniae,Streptococcus iniae,32561456,0,,,
6,Streptococcus iniae,Streptococcus iniae,32169665,0,,,
7,Streptococcus iniae,Streptococcus iniae,32569744,0,,,
8,Streptococcus iniae,Streptococcus iniae,31020947,0,,,
9,Streptococcus iniae,Streptococcus iniae,32738514,0,,,
10,Streptococcus iniae,Streptococcus iniae,31811886,0,,,
11,Streptococcus iniae,Streptococcus iniae,30917926,0,,,
12,Streptococcus iniae,Streptococcus iniae,31082516,0,,,
13,Streptococcus iniae,Streptococcus iniae,31984538,0,,,
14,Streptococcus iniae,Streptococcus iniae,31841691,0,,,
15,Streptococcus iniae,Streptococcus iniae,31521784,0,,,
16,Streptococcus iniae,Streptococcus iniae,31202962,0,,,
17,Streptococcus iniae,Streptococcus iniae,31108388,0,,,
18,Streptococcus iniae,Streptococcus iniae,31783145,0,,,
19,Streptococcus iniae,Streptococcus iniae,32899555,0,,,
20,Streptococcus iniae,Streptococcus iniae,30733751,0,,,
0,Streptococcus alactolyticus,Streptococcus alactolyticus,24475920,1,1,1,1
1,Streptococcus alactolyticus,Streptococcus alactolyticus,33059414,0,,,
2,Streptococcus alactolyticus,Streptococcus alactolyticus,29349041,0,,,
0,Streptococcus cristatus,Streptococcus cristatus,20861633,0,,,
1,Streptococcus cristatus,Streptococcus cristatus,26983837,0,,,
2,Streptococcus cristatus,Streptococcus cristatus,21193474,0,,,
0,Streptococcus ferus,Streptococcus ferus,6276304,0,,,
0,Streptococcus sinensis,Streptococcus sinensis,16216437,0,,,
1,Streptococcus sinensis,Streptococcus sinensis,18828852,0,,,
0,Streptococcus lactarius,Streptococcus lactarius,27220606,0,,,
0,Streptococcus hongkongensis,Streptococcus hongkongensis,23264498,0,,,
0,Streptococcus infantarius subsp. coli,Streptococcus infantarius subsp. coli,25514118,0,,,
1,Streptococcus infantarius subsp. coli,Streptococcus infantarius subsp. coli,24629902,0,,,
2,Streptococcus infantarius subsp. coli,Streptococcus infantarius subsp. coli,23052307,0,,,
3,Streptococcus infantarius subsp. coli,Streptococcus infantarius subsp. coli,27216720,0,,,
0,Streptococcus porcinus,Streptococcus porcinus,32434590,0,,,
1,Streptococcus porcinus,Streptococcus porcinus,7941848,0,,,
2,Streptococcus porcinus,Streptococcus porcinus,21731180,0,,,
3,Streptococcus porcinus,Streptococcus porcinus,32373373,0,,,
0,Streptococcus devriesei,Streptococcus devriesei,28053705,0,,,
0,Streptococcus tigurinus,Streptococcus tigurinus,29570912,0,,,
1,Streptococcus tigurinus,Streptococcus tigurinus,26354809,0,,,
2,Streptococcus tigurinus,Streptococcus tigurinus,24478475,0,,,
3,Streptococcus tigurinus,Streptococcus tigurinus,23856340,0,,,
4,Streptococcus tigurinus,Streptococcus tigurinus,27460295,0,,,
5,Streptococcus tigurinus,Streptococcus tigurinus,22760039,1,1,1,1
